data,empregados_no_varejo
1995-01-01,13775.2
1995-02-01,13579.5
1995-03-01,13539.2
1995-04-01,13654.1
1995-05-01,13757.5
1995-06-01,13874.5
1995-07-01,13878.2
1995-08-01,13908.2
1995-09-01,13894
1995-10-01,14006.1
1995-11-01,14347
1995-12-01,14588.5
1996-01-01,13927.7
1996-02-01,13730.7
1996-03-01,13748.1
1996-04-01,13811.7
1996-05-01,13993.7
1996-06-01,14107.5
1996-07-01,14136
1996-08-01,14167.3
1996-09-01,14153.5
1996-10-01,14327.7
1996-11-01,14692
1996-12-01,14956.2
1997-01-01,14227.1
1997-02-01,14023.4
1997-03-01,14039.9
1997-04-01,14118.7
1997-05-01,14241.9
1997-06-01,14339.3
1997-07-01,14354.7
1997-08-01,14392
1997-09-01,14359.5
1997-10-01,14533
1997-11-01,14904.1
1997-12-01,15176.5
1998-01-01,14455.8
1998-02-01,14243.3
1998-03-01,14226.1
1998-04-01,14322
1998-05-01,14471.8
1998-06-01,14568.9
1998-07-01,14602.1
1998-08-01,14617
1998-09-01,14601.4
1998-10-01,14745.6
1998-11-01,15114.4
1998-12-01,15388.3
1999-01-01,14705.2
1999-02-01,14567.2
1999-03-01,14574.9
1999-04-01,14695.9
1999-05-01,14828
1999-06-01,14931
1999-07-01,14976.4
1999-08-01,14991.2
1999-09-01,14963.5
1999-10-01,15135.6
1999-11-01,15504.9
1999-12-01,15812.9
2000-01-01,15122.9
2000-02-01,14918.4
2000-03-01,14944.4
2000-04-01,15090
2000-05-01,15145.4
2000-06-01,15240.6
2000-07-01,15242
2000-08-01,15272.9
2000-09-01,15239.5
2000-10-01,15382.9
2000-11-01,15776.7
2000-12-01,16027.7
2001-01-01,15288
2001-02-01,15094.4
2001-03-01,15077
2001-04-01,15046.8
2001-05-01,15157.7
2001-06-01,15248.1
2001-07-01,15164.8
2001-08-01,15189.7
2001-09-01,15128.4
2001-10-01,15224.1
2001-11-01,15576.1
2001-12-01,15713.9
2002-01-01,14985
2002-02-01,14785.9
2002-03-01,14813.9
2002-04-01,14874.5
2002-05-01,14960.4
2002-06-01,15033.4
2002-07-01,15011.9
2002-08-01,14981.1
2002-09-01,14907.3
2002-10-01,15033.6
2002-11-01,15383.9
2002-12-01,15577
2003-01-01,14859
2003-02-01,14652.3
2003-03-01,14652.4
2003-04-01,14725.9
2003-05-01,14826.2
2003-06-01,14889.5
2003-07-01,14860.5
2003-08-01,14898.1
2003-09-01,14865.2
2003-10-01,15010.3
2003-11-01,15315.2
2003-12-01,15505.2
2004-01-01,14861.4
2004-02-01,14693.8
2004-03-01,14775.6
2004-04-01,14862.8
2004-05-01,14987
2004-06-01,15082
2004-07-01,15051.3
2004-08-01,15054.8
2004-09-01,14996.2
2004-10-01,15154.5
2004-11-01,15526.2
2004-12-01,15707.1
2005-01-01,15051.1
2005-02-01,14911.9
2005-03-01,14955.6
2005-04-01,15068.9
2005-05-01,15194.5
2005-06-01,15300.1
2005-07-01,15327.6
2005-08-01,15348.8
2005-09-01,15226.4
2005-10-01,15348.9
2005-11-01,15741.9
2005-12-01,15938.4
2006-01-01,15245.6
2006-02-01,15067.2
2006-03-01,15150.1
2006-04-01,15171.3
2006-05-01,15253.8
2006-06-01,15332.6
2006-07-01,15326.4
2006-08-01,15337.2
2006-09-01,15235.3
2006-10-01,15386
2006-11-01,15813.5
2006-12-01,15982.4
2007-01-01,15342.5
2007-02-01,15182
2007-03-01,15301
2007-04-01,15327.3
2007-05-01,15462.9
2007-06-01,15511.5
2007-07-01,15514.4
2007-08-01,15538.3
2007-09-01,15440.9
2007-10-01,15529
2007-11-01,15994.6
2007-12-01,16162
2008-01-01,15464.1
2008-02-01,15231.2
2008-03-01,15284.9
2008-04-01,15247.6
2008-05-01,15302
2008-06-01,15342.8
2008-07-01,15308.5
2008-08-01,15270.9
2008-09-01,15099.4
2008-10-01,15138.1
2008-11-01,15351.7
2008-12-01,15424.4
2009-01-01,14688.6
2009-02-01,14439
2009-03-01,14410.6
2009-04-01,14399.6
2009-05-01,14495.4
2009-06-01,14543.5
2009-07-01,14489.3
2009-08-01,14495.3
2009-09-01,14367.5
2009-10-01,14413
2009-11-01,14729.7
2009-12-01,14863.7
2010-01-01,14290.5
2010-02-01,14123
2010-03-01,14209.3
2010-04-01,14269.1
2010-05-01,14380.1
2010-06-01,14441.8
2010-07-01,14445.1
2010-08-01,14463.7
2010-09-01,14361
2010-10-01,14510.5
2010-11-01,14849.9
2010-12-01,15008.4
2011-01-01,14448.6
2011-02-01,14282.5
2011-03-01,14349.3
2011-04-01,14489
2011-05-01,14588.7
2011-06-01,14682.3
2011-07-01,14718
2011-08-01,14717.5
2011-09-01,14617.2
2011-10-01,14751.7
2011-11-01,15142.3
2011-12-01,15296.7
2012-01-01,14734.5
2012-02-01,14520.3
2012-03-01,14580.3
2012-04-01,14670.4
2012-05-01,14775.5
2012-06-01,14815.9
2012-07-01,14807.7
2012-08-01,14815.2
2012-09-01,14738.9
2012-10-01,14877.7
2012-11-01,15363
2012-12-01,15462.5
2013-01-01,14858.2
2013-02-01,14672.3
2013-03-01,14711.7
2013-04-01,14808.6
2013-05-01,14932.3
2013-06-01,15045.2
2013-07-01,15097.3
2013-08-01,15131.7
2013-09-01,15052.6
2013-10-01,15212.3
2013-11-01,15655.3
2013-12-01,15839.4
2014-01-01,15170.7
2014-02-01,14951.8
2014-03-01,15015.4
2014-04-01,15137
2014-05-01,15238.9
2014-06-01,15354.6
2014-07-01,15389.2
2014-08-01,15380.4
2014-09-01,15298.8
2014-10-01,15481.6
2014-11-01,15894.3
2014-12-01,16048.1
2015-01-01,15421.1
2015-02-01,15244.9
2015-03-01,15311.7
2015-04-01,15401.8
2015-05-01,15530.3
2015-06-01,15620.5
2015-07-01,15647
2015-08-01,15626.3
2015-09-01,15513.4
2015-10-01,15696.8
2015-11-01,16095.8
2015-12-01,16221.5
2016-01-01,15625.7
2016-02-01,15486.6
2016-03-01,15576.8
2016-04-01,15648.7
2016-05-01,15745.7
2016-06-01,15851.8
2016-07-01,15874.4
2016-08-01,15864.6
2016-09-01,15750.3
2016-10-01,15899.5
2016-11-01,16260.2
2016-12-01,16394.3
2017-01-01,15854.4
2017-02-01,15627.9
2017-03-01,15635
2017-04-01,15686.6
2017-05-01,15759.5
2017-06-01,15843
2017-07-01,15841.1
2017-08-01,15810.2
2017-09-01,15679.3
2017-10-01,15819.9
2017-11-01,16285.8
2017-12-01,16305.9
2018-01-01,15718.6
2018-02-01,15577
2018-03-01,15610.8
2018-04-01,15681.4
2018-05-01,15797.2
2018-06-01,15844.9
2018-07-01,15854.5
2018-08-01,15834.9
2018-09-01,15680.6
2018-10-01,15796.5
2018-11-01,16291.3
2018-12-01,16309.2
2019-01-01,15753.5
2019-02-01,15567.4
2019-03-01,15576.6
2019-04-01,15624.9
2019-05-01,15691.6
2019-06-01,15775.5
2019-07-01,15785.9
2019-08-01,15749.5
2019-09-01,15611.3
